controller,action,route,kind,verbs,action_attributes,controller_attributes,anonymous,evidence
AccountingApi,AccountTypes,/AccountingApi/AccountTypes,api,"HttpGet(""account-types"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,Accounts,/AccountingApi/Accounts,api,"HttpGet(""accounts"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,ApAging,/AccountingApi/ApAging,api,"HttpGet(""ap/aging"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,ArAging,/AccountingApi/ArAging,api,"HttpGet(""ar/aging"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,CreateCustomer,/AccountingApi/CreateCustomer,api,"HttpPost(""ar/customers"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,CreateJournal,/AccountingApi/CreateJournal,api,"HttpPost(""journals"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,CreatePayment,/AccountingApi/CreatePayment,api,"HttpPost(""ap/payments"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,CreatePurchaseInvoice,/AccountingApi/CreatePurchaseInvoice,api,"HttpPost(""ap/bills"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,CreateReceipt,/AccountingApi/CreateReceipt,api,"HttpPost(""ar/receipts"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,CreateSalesInvoice,/AccountingApi/CreateSalesInvoice,api,"HttpPost(""ar/invoices"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,CreateVendor,/AccountingApi/CreateVendor,api,"HttpPost(""ap/vendors"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,Customers,/AccountingApi/Customers,api,"HttpGet(""ar/customers"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
AccountingApi,Journal,/AccountingApi/Journal,api,"HttpGet(""journals/{id:int}"")",,"ApiController; Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme); Produces(""application/json""); Route(""api/acc"")",no,repository-verified
