service,source_file,line,account_code,resolution,evidence,snippet
AiInsightsService,CrossBuy/BL/AiInsightsService.cs,133,1101,HARD-CODED in source,repository evidence,"await _context.Accounts.AsNoTracking() .Where(a => a.CompanyID == companyId && a.Code.StartsWith(""1101"")).Select(a => a.ID).ToListAsync(ct);"
ClosingService,CrossBuy/BL/ClosingService.cs,81,3201,HARD-CODED in source,repository evidence,"ed""); var retained = await _context.Accounts.Where(a => a.CompanyID == companyId && a.Code == ""3201"").Select(a => (int?)a.ID).FirstOrDefault"
FinancialStatementService,CrossBuy/BL/FinancialStatementService.cs,139,1101,HARD-CODED in source,repository evidence," await _context.Accounts.AsNoTracking() .Where(a => a.CompanyID == companyId && a.Code.StartsWith(""1101"")) .Select(a => a.ID).ToListAsync();"
MaintenanceService,CrossBuy/BL/MaintenanceService.cs,76,520110,HARD-CODED in source,repository evidence,"intAcc = await _db.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""520110"").Select(a => (int?)a.ID).FirstOrDefault"
PosOrderService,CrossBuy/BL/PosOrderService.cs,389,110102,HARD-CODED in source,repository evidence,"if (debit == 0) debit = await _db.Accounts.Where(a => a.CompanyID == companyId && a.Code == ""110102"").Select(a => a.ID).FirstOrDefaultAsync("
PosOrderService,CrossBuy/BL/PosOrderService.cs,391,210207,HARD-CODED in source,repository evidence,"ltAsync(); } var tips = await _db.Accounts.Where(a => a.CompanyID == companyId && a.Code == ""210207"").Select(a => (int?)a.ID).FirstOrDefault"
PosOrderService,CrossBuy/BL/PosOrderService.cs,443,4101,HARD-CODED in source,repository evidence,"t companyId) { int rev = await _db.Accounts.Where(a => a.CompanyID == companyId && a.Code == ""4101"").Select(a => a.ID).FirstOrDefaultAsync("
PosOrderService,CrossBuy/BL/PosOrderService.cs,450,110101,HARD-CODED in source,repository evidence,"companyId) { int cash = await _db.Accounts.Where(a => a.CompanyID == companyId && a.Code == ""110101"").Select(a => a.ID).FirstOrDefaultAsync("
PosOrderService,CrossBuy/BL/PosOrderService.cs,451,1101,HARD-CODED in source,repository evidence,"= await _db.Accounts.Where(a => a.CompanyID == companyId && a.IsPostable && a.Code.StartsWith(""1101"")).OrderBy(a => a.Code).Select(a => a.ID"
PosPreparationService,CrossBuy/BL/PosPreparationService.cs,308,510101,HARD-CODED in source,repository evidence,"r cogs = await _db.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""510101"").Select(a => (int?)a.ID).FirstOrDefault"
PosPreparationService,CrossBuy/BL/PosPreparationService.cs,309,520110,HARD-CODED in source,repository evidence," waste = await _db.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""520110"").Select(a => (int?)a.ID).FirstOrDefault"
PosSetupService,CrossBuy/BL/PosSetupService.cs,818,1101,HARD-CODED in source,repository evidence,"cking().Where(a => a.CompanyID == PosCompanyId && a.IsPostable && a.IsActive && a.Code.StartsWith(""1101"")) .OrderBy(a => a.Code).Select(a =>"
PosSetupService,CrossBuy/BL/PosSetupService.cs,825,110101,HARD-CODED in source,repository evidence,"var parent = await _db.Accounts.FirstOrDefaultAsync(a => a.CompanyID == PosCompanyId && a.Code == ""110101"") ?? await _db.Accounts.Where(a"
PosSetupService,CrossBuy/BL/PosSetupService.cs,826,1101,HARD-CODED in source,repository evidence,"wait _db.Accounts.Where(a => a.CompanyID == PosCompanyId && a.IsPostable && a.Code.StartsWith(""1101"")).OrderBy(a => a.Code).FirstOrDefaultAs"
PosSetupService,CrossBuy/BL/PosSetupService.cs,986,110101,HARD-CODED in source,repository evidence," (drawer == 0) drawer = await _db.Accounts.Where(a => a.CompanyID == companyId && a.Code == ""110101"").Select(a => a.ID).FirstOrDefaultAsync("
PosSetupService,CrossBuy/BL/PosSetupService.cs,987,520111,HARD-CODED in source,repository evidence,"aultAsync(); var over = await _db.Accounts.Where(a => a.CompanyID == companyId && a.Code == ""520111"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,728,110302,HARD-CODED in source,repository evidence,"c = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""110302"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1032,510103,HARD-CODED in source,repository evidence,"c = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""510103"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1119,3301,HARD-CODED in source,repository evidence,"obe = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""3301"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1183,1201,HARD-CODED in source,repository evidence,"Acc = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""1201"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1184,1202,HARD-CODED in source,repository evidence,"Acc = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""1202"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1185,520103,HARD-CODED in source,repository evidence,"c = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""520103"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1430,1105,HARD-CODED in source,repository evidence,"Acc = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""1105"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1480,1105,HARD-CODED in source,repository evidence,"Acc = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""1105"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1481,520108,HARD-CODED in source,repository evidence,"c = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""520108"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1585,1105,HARD-CODED in source,repository evidence,"Acc = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""1105"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1586,520108,HARD-CODED in source,repository evidence,"c = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""520108"").Select(a => (int?)a.ID).FirstOrDefault"
StockService,CrossBuy/BL/StockService.cs,1587,520109,HARD-CODED in source,repository evidence,"c = await _context.Accounts.AsNoTracking().Where(a => a.CompanyID == companyId && a.Code == ""520109"").Select(a => (int?)a.ID).FirstOrDefault"
