screenshot_id,scenario,step,language,route,role,record_id,before_after,filename,viewport,capture_time,readiness_ok,readiness_checks_passed,countersSettled,noSpinners,expect_check,duplicate_group,privacy_treatment,evidence_reference,file_exists,sha256_12,bytes,page_title,heading,html_lang,direction
ACC-GL-01-01_empty-form,ACC-GL-01,1 open the form,ar,/Accounting/CreateJournal,ChiefAccountant/admin,,before,ACC-GL-01-01_empty-form.ar.png,1600x1000,2026-09-21T08:46:34.466Z,True,8,True,True,#entryDate,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,09db101b266a,79254,النظام المحاسبي - CrossBuy,قيد يومية جديد,ar,rtl
ACC-GL-01-02_filled-before-save,ACC-GL-01,"2 completed form, before submission",ar,/Accounting/CreateJournal,ChiefAccountant/admin,,before,ACC-GL-01-02_filled-before-save.ar.png,1600x1000,2026-09-21T08:46:36.289Z,True,8,True,True,#rows tr,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,fcaaa3be0480,85779,النظام المحاسبي - CrossBuy,قيد يومية جديد,ar,rtl
ACC-GL-01-03_after-save-draft,ACC-GL-01,3 after Save draft,ar,/Accounting/Journals,ChiefAccountant/admin,,after,ACC-GL-01-03_after-save-draft.ar.png,1600x1000,2026-09-21T08:46:41.389Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,09732b83da4f,179637,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl
ACC-GL-01-01_empty-form,ACC-GL-01,1 open the form,en,/Accounting/CreateJournal,ChiefAccountant/admin,,before,ACC-GL-01-01_empty-form.en.png,1600x1000,2026-09-21T08:46:16.507Z,True,8,True,True,#entryDate,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,ccdf29241f23,98762,Accounting System - CrossBuy,New Journal Entry,en,ltr
ACC-GL-01-02_filled-before-save,ACC-GL-01,"2 completed form, before submission",en,/Accounting/CreateJournal,ChiefAccountant/admin,,before,ACC-GL-01-02_filled-before-save.en.png,1600x1000,2026-09-21T08:46:18.334Z,True,8,True,True,#rows tr,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,a52ec1e84b7d,105035,Accounting System - CrossBuy,New Journal Entry,en,ltr
ACC-GL-01-03_after-save-draft,ACC-GL-01,3 after Save draft,en,/Accounting/Journals,ChiefAccountant/admin,,after,ACC-GL-01-03_after-save-draft.en.png,1600x1000,2026-09-21T08:46:23.366Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,2c38a6781e5f,213362,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-GL-01-04_draft-in-list,ACC-GL-01,4 the draft in the journals list,ar,/Accounting/Journals,ChiefAccountant/admin,JE 24214,before posting,ACC-GL-01-04_draft-in-list.ar.png,1600x1000,2026-09-21T08:47:23.627Z,True,8,True,True,ZZ-DISCOVERY GL-01,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,17b3e7926e85,174407,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl
ACC-GL-01-05_after-post,ACC-GL-01,5 confirmation after posting,ar,/Accounting/Journals,ChiefAccountant/admin,JE 24214,after posting,ACC-GL-01-05_after-post.ar.png,1600x1000,2026-09-21T08:47:29.073Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,72193d70c71b,175858,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl
ACC-GL-01-06_after-reverse,ACC-GL-01,6 confirmation after reversal,ar,/Accounting/Journals,ChiefAccountant/admin,JE 24214,after reversal,ACC-GL-01-06_after-reverse.ar.png,1600x1000,2026-09-21T08:47:36.262Z,True,8,True,True,(none set),DUP-01,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,6c83f90da256,174910,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl
ACC-GL-01-04_draft-in-list,ACC-GL-01,4 the draft in the journals list,en,/Accounting/Journals,ChiefAccountant/admin,JE 24232,before posting,ACC-GL-01-04_draft-in-list.en.png,1600x1000,2026-09-21T09:55:42.670Z,True,8,True,True,ZZ-DISCOVERY GL-01,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,beb311f83bfe,203026,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-GL-01-05_after-post,ACC-GL-01,5 confirmation after posting,en,/Accounting/Journals,ChiefAccountant/admin,JE 24232,after posting,ACC-GL-01-05_after-post.en.png,1600x1000,2026-09-21T09:55:48.232Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,6b6e19f9f323,208693,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-GL-01-06_after-reverse,ACC-GL-01,6 confirmation after reversal,en,/Accounting/Journals,ChiefAccountant/admin,JE 24232,after reversal,ACC-GL-01-06_after-reverse.en.png,1600x1000,2026-09-21T09:55:55.974Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,58d331e190c1,207556,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-P2P-01-01_invoice-posted,ACC-P2P-01,purchase invoices incl. PI-2026-05073/74,ar,/Accounting/PurchaseInvoices,ChiefAccountant/admin,,result (Arabic),ACC-P2P-01-01_invoice-posted.ar.png,1600x1000,2026-09-21T10:07:50.186Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,1bd37ea5af0a,152421,النظام المحاسبي - CrossBuy,فواتير الشراء,ar,rtl
ACC-P2P-02-01_partial-payment,ACC-P2P-02,payments incl. PY-2026-00008/9,ar,/Accounting/Payments,ChiefAccountant/admin,,result (Arabic),ACC-P2P-02-01_partial-payment.ar.png,1600x1000,2026-09-21T10:07:51.984Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,2033b9a5b9a5,114619,النظام المحاسبي - CrossBuy,سندات الدفع,ar,rtl
ACC-P2P-02-02_remaining-balance,ACC-P2P-02,supplier aging after settlement,ar,/Accounting/ApAging,ChiefAccountant/admin,,result (Arabic),ACC-P2P-02-02_remaining-balance.ar.png,1600x1000,2026-09-21T10:07:53.718Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,8c8ab00c23ce,97675,النظام المحاسبي - CrossBuy,أعمار ديون الموردين,ar,rtl
ACC-P2P-05-01_purchase-return,ACC-P2P-05,purchase return DN-2026-03016,ar,/Accounting/PurchaseReturns,ChiefAccountant/admin,,result (Arabic),ACC-P2P-05-01_purchase-return.ar.png,1600x1000,2026-09-21T10:07:55.445Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,e8ef708283b1,153601,النظام المحاسبي - CrossBuy,مرتجعات الشراء / إشعارات المدين,ar,rtl
ACC-O2C-01-01_invoice-posted,ACC-O2C-01,sales invoices incl. SV-2026-17613,ar,/Accounting/SalesInvoices,ChiefAccountant/admin,,result (Arabic),ACC-O2C-01-01_invoice-posted.ar.png,1600x1000,2026-09-21T10:07:57.163Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,1825fa170743,158628,النظام المحاسبي - CrossBuy,فواتير البيع,ar,rtl
