proposed_entity_code,entity_class,dbset,module,domain,file,primary_key,company_field,branch_field,status_field,soft_delete,polymorphic_host,in_entity_registry,timeline_wired,comments_wired,business_events,notification_type,files_support,followers_support,relations_support,workflow_support,search_support,ai_context,audit_history
SalesInvoice,SalesInvoice,SalesInvoices,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),Status,False,False,True,True,True,2,yes,False,False,False,none,registry,False,BusinessEvents
PurchaseInvoice,PurchaseInvoice,PurchaseInvoices,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),Status,False,False,True,True,True,2,yes,False,False,False,none,registry,False,BusinessEvents
Customer,Customer,Customers,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),IsActive,False,False,True,True,False,3,yes,False,False,False,none,registry,False,BusinessEvents
Supplier,Vendor,Vendors,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),IsActive,False,False,True,False,False,0,no,False,False,False,none,registry,False,CreatedAt/By only
SalesReturn,SalesReturn,SalesReturns,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
PurchaseReturn,PurchaseReturn,PurchaseReturns,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
Receipt,Receipt,Receipts,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
Payment,Payment,Payments,Accounting,Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
JournalEntry,JournalEntry,JournalEntries,Accounting,Accounting,CrossBuy/Models/Context/Accounting/GeneralLedger.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
Account,Account,Accounts,Accounting,Accounting,CrossBuy/Models/Context/Accounting/AccountingFoundation.cs,ID,CompanyID,(none),IsActive,False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
FixedAsset,FixedAsset,FixedAssets,FixedAssets,Accounting,CrossBuy/Models/Context/Accounting/FixedAssets.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
CostCenter,CostCenter,CostCenters,Accounting,Accounting,CrossBuy/Models/Context/Accounting/Dimensions.cs,ID,CompanyID,(none),IsActive,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
Item,Item,Items,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),IsActive,False,False,True,False,False,0,no,False,False,False,none,registry,False,CreatedAt/By only
Warehouse,Warehouse,Warehouses,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),IsActive,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
StockMovement,StockMovement,StockMovements,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),(none),False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
PurchaseOrder,PurchaseOrder,PurchaseOrders,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
SalesOrder,SalesOrder,SalesOrders,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
GoodsReceipt,GoodsReceipt,GoodsReceipts,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
Delivery,Delivery,(none),Inventory,,(not found),,(none),(none),(none),,,False,False,False,0,yes,False,False,False,none,screen-local,False,none
Quotation,Quotation,Quotations,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Quotation.cs,ID,CompanyID,(none),Status,False,False,False,False,True,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
StockCount,StockCount,StockCounts,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
StockTransfer,StockTransfer,StockTransfers,Inventory,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
ManufWorkOrder,ManufWorkOrder,ManufWorkOrders,Manufacturing,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),Status,False,False,True,True,False,1,no,False,False,False,none,registry,False,BusinessEvents
ManufPlan,ManufPlan,ManufPlans,Manufacturing,Inventory,CrossBuy/Models/Context/Inventory/Inventory.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
PosOrder,PosOrder,PosOrders,POS,Pos,CrossBuy/Models/Context/Pos/OperationsPlatform.cs,ID,CompanyId,BranchId,Status,False,False,True,False,False,0,no,False,False,False,none,registry,False,none
PosShift,PosShift,PosShifts,POS,Pos,CrossBuy/Models/Context/Pos/OperationsPlatform.cs,ID,(none),(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,none
PosTerminal,PosTerminal,PosTerminals,POS,Pos,CrossBuy/Models/Context/Pos/OperationsPlatform.cs,ID,(none),BranchId,IsActive,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
Branch,Branch,Branches,Admin,Admin,CrossBuy/Models/Context/Admin/Branch.cs,ID,CompanyID,(none),(none),False,False,False,False,False,0,no,False,False,False,none,screen-local,False,none
Company,Companies,Companies,Admin,Admin,CrossBuy/Models/Context/Admin/Companies.cs,,CompanyID,(none),(none),False,False,False,False,False,0,no,False,False,False,none,screen-local,False,none
Employee,Employee,Employee,HR,Admin,CrossBuy/Models/Context/Admin/Employee.cs,ID,(none),BranchID,IsActive,False,False,True,False,False,0,no,False,False,False,none,registry,False,none
LeaveRequest,LeaveRequest,LeaveRequests,HR,Admin,CrossBuy/Models/Context/Admin/LeaveRequest.cs,ID,(none),(none),Status,False,False,False,False,False,0,no,False,False,False,silo,screen-local,False,none
EmployeeRequest,EmployeeRequest,EmployeeRequests,HR,Admin,CrossBuy/Models/Context/Admin/EmployeeRequest.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,silo,screen-local,False,CreatedAt/By only
Payslip,Payslip,Payslips,HR,Admin,CrossBuy/Models/Context/Admin/Payslip.cs,ID,CompanyID,(none),(none),False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
Appraisal,Appraisal,Appraisals,HR,Admin,CrossBuy/Models/Context/Admin/Appraisal.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
