"module","controller","file","base","is_api","class_attributes","ctor_dependencies","direct_dbcontext","uses_session","uses_scopedtx","uses_notify","uses_businessevent","lines"
"Identity","AccountController","CrossBuy/Controllers/AccountController.cs","Controller","False","","IUserService;IEmployeeService;SignInManager<Users>;IMapper;CrossDbContext","True","True","False","False","False","256"
"Identity","AccountingController","CrossBuy/Controllers/AccountingController.cs","Controller","False","SessionValidation","IChartOfAccountsService;IJournalEntryService;IGeneralLedgerService;ICostCenterService;IFiscalPeriodService;IAccountingPostingService;IReceivableService;IPayableService;IAccountingDashboardService;IBankService;IFixedAssetService;ITaxService;IEtaInvoiceService;IFinancialStatementService;IClosingService;CrossDbContext;IAccountingAccessService;IAiInsightsService;IExecutiveDashboardService;ICurrencyService;IPricingService;IStringLocalizer<CrossBuy.SharedResources>;CrossBuy.BL.Platform.IRequestCompanyResolver","True","False","False","False","False","1634"
"HR","AdminController","CrossBuy/Controllers/AdminController.Appraisals.cs","Controller","False","","","False","False","False","False","False","127"
"HR","AdminController","CrossBuy/Controllers/AdminController.cs","Controller","False","","IJobTitles;IAdministrativeBodiesCompanyService;IAdministrativeStructureService;IPolicesService;ICompanyService;IJobTitles;IHolidayService;IStringLocalizer<CrossBuy.SharedResources>","False","False","False","False","True","1064"
"HR","AdminController","CrossBuy/Controllers/AdminController.Recruitment.cs","Controller","False","","","False","False","False","False","False","152"
"HR","AdminController","CrossBuy/Controllers/AdminController.Training.cs","Controller","False","","","False","False","False","False","False","87"
"Communication","AnnouncementsController","CrossBuy/Controllers/AnnouncementsController.cs","Controller","False","SessionValidation","IAnnouncementService;IEmployeeService;CrossDbContext","True","False","False","False","False","73"
"Identity","AccountingApiController","CrossBuy/Controllers/Api/AccountingApiController.cs","ControllerBase","True","ApiController;Route(""api/acc"");Produces(""application/json"");Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","IChartOfAccountsService;CrossDbContext;IJournalEntryService;IGeneralLedgerService;IAccountingPostingService;IReceivableService;IPayableService;IFinancialStatementService;IAccountingApiAuthorization","True","False","False","False","False","476"
"AI","AiController","CrossBuy/Controllers/Api/AiController.cs","ControllerBase","True","ApiController;Route(""api/ai"");Produces(""application/json"");Authorize(AuthenticationSchemes = JwtBearerDefaults.AuthenticationScheme)","IAiService;CrossDbContext;IAiInsightsService","True","False","False","False","False","130"
"Other","AuthApiController","CrossBuy/Controllers/Api/AuthApiController.cs","ControllerBase","True","ApiController;Route(""api/auth"");Produces(""application/json"")","UserManager<Users>;IEmployeeService;ITokenService","False","False","False","False","False","74"
"DevTools","DevSeedController","CrossBuy/Controllers/Api/DevSeedController.cs","Controller","True","ApiController;Route(""api/dev"");AllowAnonymous;CrossBuy.Models.DevOnly","UserManager<Users>;CrossDbContext;CrossBuy.BL.ICostCenterService;CrossBuy.BL.IReceivableService;CrossBuy.BL.IPayableService;CrossBuy.BL.IBankService;CrossBuy.BL.IAccountingPostingService;CrossBuy.BL.IJournalEntryService;CrossBuy.BL.IFixedAssetService;CrossBuy.BL.ITaxService;CrossBuy.BL.IItemService;CrossBuy.BL.IWarehouseService;CrossBuy.BL.IStockService;CrossBuy.BL.IProcurementService;CrossBuy.BL.ISellingService;CrossBuy.BL.IPricingService;CrossBuy.BL.IThreeWayMatchService;CrossBuy.BL.ICrmService;CrossBuy.BL.IFxRevaluationService;CrossBuy.BL.IPosSetupService;CrossBuy.BL.IPosOrderService;CrossBuy.BL.IPosAccessService;IServiceScopeFactory","True","True","True","False","True","15157"
