module,dbset_property,entity,entity_type,declared_domain
Accounting,AccountingSettings,AccountingSettings,Accounting.AccountingSettings,Accounting
Accounting,AccountingUserRoles,AccountingUserRole,Accounting.AccountingUserRole,Accounting
Accounting,BankAccounts,BankAccount,Accounting.BankAccount,Accounting
Accounting,BankReconciliationLines,BankReconciliationLine,Accounting.BankReconciliationLine,Accounting
Accounting,BankReconciliations,BankReconciliation,Accounting.BankReconciliation,Accounting
Accounting,CostCenters,CostCenter,Accounting.CostCenter,Accounting
Accounting,Currencies,Currency,Accounting.Currency,Accounting
Accounting,EtaSettings,EtaSettings,Accounting.EtaSettings,Accounting
Accounting,FiscalPeriods,FiscalPeriod,Accounting.FiscalPeriod,Accounting
Accounting,FxRevaluationRuns,FxRevaluationRun,Accounting.FxRevaluationRun,Accounting
Accounting,JournalEntries,JournalEntry,Accounting.JournalEntry,Accounting
Accounting,JournalEntryLines,JournalEntryLine,Accounting.JournalEntryLine,Accounting
Accounting,OpeningBalanceControls,OpeningBalanceControl,Inventory.OpeningBalanceControl,Inventory
Accounting,OpeningBalances,OpeningBalance,Inventory.OpeningBalance,Inventory
Accounting,PayrollTaxBrackets,PayrollTaxBracket,Accounting.PayrollTaxBracket,Accounting
Accounting,TaxCodes,TaxCode,Accounting.TaxCode,Accounting
Accounting,YearEndClosings,YearEndClosing,Accounting.YearEndClosing,Accounting
Admin,AccountTypes,AccountType,Accounting.AccountType,Accounting
Admin,Accounts,Account,Accounting.Account,Accounting
Admin,BranchUserRoles,BranchUserRole,Pos.BranchUserRole,Pos
Admin,CompanyTypes,CompanyType,CompanyType,
CRM,CrmAccounts,CrmAccount,Crm.CrmAccount,Crm
CRM,CrmAutomationRules,CrmAutomationRule,Crm.CrmAutomationRule,Crm
CRM,CrmContacts,CrmContact,Crm.CrmContact,Crm
CRM,CrmCustomFieldValues,CrmCustomFieldValue,Crm.CrmCustomFieldValue,Crm
CRM,CrmCustomFields,CrmCustomField,Crm.CrmCustomField,Crm
CRM,CrmListMembers,CrmListMember,Crm.CrmListMember,Crm
CRM,CrmMarketingLists,CrmMarketingList,Crm.CrmMarketingList,Crm
CRM,CrmPipelineStages,CrmPipelineStage,Crm.CrmPipelineStage,Crm
CRM,CrmPipelines,CrmPipeline,Crm.CrmPipeline,Crm
CRM,CrmScoringRules,CrmScoringRule,Crm.CrmScoringRule,Crm
CRM,CrmSettings,CrmSettings,Crm.CrmSettings,Crm
CRM,CrmSlaPolicies,CrmSlaPolicy,Crm.CrmSlaPolicy,Crm
CRM,CrmTickets,CrmTicket,Crm.CrmTicket,Crm
CRM,CrmUserRoles,CrmUserRole,Crm.CrmUserRole,Crm
Communication,AnnouncementReads,AnnouncementRead,Comm.AnnouncementRead,Comm
Communication,Announcements,Announcement,Comm.Announcement,Comm
Communication,CalendarEventAttendees,CalendarEventAttendee,Calendar.CalendarEventAttendee,Calendar
Communication,CalendarEvents,CalendarEvent,Calendar.CalendarEvent,Calendar
Communication,ChatMessages,ChatMessage,Chat.ChatMessage,Chat
Communication,ChatReactions,ChatReaction,Chat.ChatReaction,Chat
Communication,CommAttachments,CommAttachment,Comm.CommAttachment,Comm
Communication,CommMessages,CommMessage,Comm.CommMessage,Comm
Communication,DocComments,DocComment,Comm.DocComment,Comm
Communication,NotificationMutes,NotificationMute,Admin.NotificationMute,Admin
Communication,Notifications,Notification,Notification,
FixedAssets,EquipmentDepreciationAllocations,EquipmentDepreciationAllocation,Accounting.EquipmentDepreciationAllocation,Accounting
FixedAssets,FixedAssets,FixedAsset,Accounting.FixedAsset,Accounting
FixedAssets,MaintenanceRecords,MaintenanceRecord,Accounting.MaintenanceRecord,Accounting
FixedAssets,MaintenanceSchedules,MaintenanceSchedule,Accounting.MaintenanceSchedule,Accounting
HR,AdministrativeBodiesCompanies,AdministrativeBodiesCompany,AdministrativeBodiesCompany,
HR,AppraisalCriteria,AppraisalCriterion,Admin.AppraisalCriterion,Admin
HR,AppraisalCycles,AppraisalCycle,Admin.AppraisalCycle,Admin
HR,AppraisalLines,AppraisalLine,Admin.AppraisalLine,Admin
HR,AppraisalTemplates,AppraisalTemplate,Admin.AppraisalTemplate,Admin
HR,Appraisals,Appraisal,Admin.Appraisal,Admin
HR,AttendancePolicies,AttendancePolicies,AttendancePolicies,
HR,AttendanceRecords,AttendanceRecord,AttendanceRecord,
HR,Employee,Employee,Employee,
HR,EmployeeDocuments,EmployeeDocument,EmployeeDocument,
HR,EmployeeRequestSteps,EmployeeRequestStep,Admin.EmployeeRequestStep,Admin
HR,EmployeeRequests,EmployeeRequest,Admin.EmployeeRequest,Admin
HR,EmploymentContracts,EmploymentContract,EmploymentContract,
HR,FinalSettlements,FinalSettlement,FinalSettlement,
HR,HrDocumentAttachments,HrDocumentAttachment,Admin.HrDocumentAttachment,Admin
HR,LeaveApprovalSteps,LeaveApprovalStep,LeaveApprovalStep,
HR,LeaveCarryOvers,LeaveCarryOver,LeaveCarryOver,
HR,LeaveEncashments,LeaveEncashment,LeaveEncashment,
HR,LeavePolicies,LeavePolicies,LeavePolicies,
HR,LeaveProvisionRuns,LeaveProvisionRun,LeaveProvisionRun,
HR,LeaveRequests,LeaveRequest,LeaveRequest,
HR,LeaveTypes,LeaveTypes,LeaveTypes,
HR,OfficialHolidays,OfficialHoliday,OfficialHoliday,
HR,PayrollSettings,PayrollSettings,Accounting.PayrollSettings,Accounting
HR,TrainingCourses,TrainingCourse,Admin.TrainingCourse,Admin
HR,TrainingEnrollments,TrainingEnrollment,Admin.TrainingEnrollment,Admin
Inventory,BinStocks,BinStock,Inventory.BinStock,Inventory
Inventory,BoqItems,BoqItem,Accounting.BoqItem,Accounting
Inventory,BranchItemSourcings,BranchItemSourcing,Pos.BranchItemSourcing,Pos
Inventory,Brands,Brand,Admin.Brand,Admin
Inventory,IntegrityCheckRuns,IntegrityCheckRun,Inventory.IntegrityCheckRun,Inventory
Inventory,InventoryApprovals,InventoryApproval,Inventory.InventoryApproval,Inventory
Inventory,InventoryReconcileLogs,InventoryReconcileLog,Inventory.InventoryReconcileLog,Inventory
Inventory,InventorySettings,InventorySettings,Inventory.InventorySettings,Inventory
Inventory,InventoryUserRoles,InventoryUserRole,Inventory.InventoryUserRole,Inventory
Inventory,ItemBarcodes,ItemBarcode,Inventory.ItemBarcode,Inventory
Inventory,ItemCategories,ItemCategory,Inventory.ItemCategory,Inventory
Inventory,ItemComponents,ItemComponent,Inventory.ItemComponent,Inventory
Inventory,ItemImages,ItemImage,Inventory.ItemImage,Inventory
Inventory,ItemModifierGroups,ItemModifierGroup,Pos.ItemModifierGroup,Pos
Inventory,ItemWarehouseSettings,ItemWarehouseSetting,Inventory.ItemWarehouseSetting,Inventory
Inventory,Items,Item,Inventory.Item,Inventory
Inventory,LibraryItems,LibraryItem,Library.LibraryItem,Library
Inventory,PosQuickItems,PosQuickItem,Pos.PosQuickItem,Pos
Inventory,StockBalances,StockBalance,Inventory.StockBalance,Inventory
Inventory,StockBatches,StockBatch,Inventory.StockBatch,Inventory
Inventory,StockCostLayers,StockCostLayer,Inventory.StockCostLayer,Inventory
Inventory,StockCountLines,StockCountLine,Inventory.StockCountLine,Inventory
Inventory,StockCounts,StockCount,Inventory.StockCount,Inventory
Inventory,StockMovements,StockMovement,Inventory.StockMovement,Inventory
Inventory,StockSerials,StockSerial,Inventory.StockSerial,Inventory
Inventory,StockTransferLines,StockTransferLine,Inventory.StockTransferLine,Inventory
Inventory,StockTransfers,StockTransfer,Inventory.StockTransfer,Inventory
Inventory,StockWriteOffLines,StockWriteOffLine,Inventory.StockWriteOffLine,Inventory
Inventory,StockWriteOffs,StockWriteOff,Inventory.StockWriteOff,Inventory
Inventory,TaskItems,TaskItem,Tasks.TaskItem,Tasks
Inventory,Warehouses,Warehouse,Inventory.Warehouse,Inventory
