"module","controller","action","http_method","route_attribute","is_api","mutating","antiforgery","permission_attributes","inherited_permission","in_body_authorization","action_attributes","uses_scopedtx","uses_notify","uses_businessevent","file"
"Identity","AccountController","SetLanguage","GET","","False","False","False","(none)","(none)","False","","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Login","GET","","False","False","False","(none)","(none)","False","HttpGet","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","SetEmployeeSession","GET","","False","False","False","(none)","(none)","False","","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","GetEmployeeFromSession","GET","","False","False","False","(none)","(none)","False","","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Login","POST","","False","True","False","(none)","(none)","False","HttpPost","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Logout","GET","","False","False","False","(none)","(none)","False","","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Profile","GET","","False","False","False","(none)","(none)","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Statements","GET","","False","False","False","(none)","(none)","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Subscription","GET","","False","False","False","(none)","(none)","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Settings","GET","","False","False","False","(none)","(none)","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","ChangePassword","POST","","False","True","True","(none)","(none)","False","SessionValidation;HttpPost;ValidateAntiForgeryToken","False","False","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountingController","AiInsights","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Index","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Executive","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ChartOfAccounts","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
