domain,entity,module,namespace,file,base,primary_key,company_field,branch_field,status_field,has_createdat,has_createdby,has_updatedat,soft_delete,polymorphic,property_count
Accounting,Account,Admin,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingFoundation.cs,,ID,CompanyID,,IsActive,True,True,True,False,False,17
Accounting,AccountType,Admin,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingFoundation.cs,,ID,,,,False,False,False,False,False,6
Accounting,AccountingSettings,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingSettings.cs,,,CompanyID,,,True,False,False,False,False,5
Accounting,AccountingUserRole,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingUserRole.cs,,ID,CompanyID,,,True,False,False,False,False,5
Accounting,AssetCategory,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/FixedAssets.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,11
Accounting,BankAccount,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Banking.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,12
Accounting,BankReconciliation,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Banking.cs,,ID,CompanyID,,Status,True,False,False,False,False,10
Accounting,BankReconciliationLine,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Banking.cs,,ID,,,,False,False,False,False,False,4
Accounting,BoqItem,Inventory,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Boq.cs,,ID,CompanyID,,,True,False,False,False,False,17
Accounting,CashBox,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Banking.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,8
Accounting,CostCenter,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Dimensions.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,9
Accounting,Currency,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingFoundation.cs,,ID,,,,False,False,False,False,False,6
Accounting,Customer,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,17
Accounting,DepreciationLine,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/FixedAssets.cs,,ID,,,,False,False,False,False,False,7
Accounting,DepreciationRun,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/FixedAssets.cs,,ID,CompanyID,,Status,True,False,False,False,False,11
Accounting,EquipmentDepreciationAllocation,FixedAssets,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/EquipmentDepreciationAllocation.cs,,ID,CompanyID,,Status,True,True,False,False,False,17
Accounting,EtaSettings,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Taxes.cs,,ID,CompanyID,,,False,False,True,False,False,8
Accounting,ExchangeRate,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingFoundation.cs,,ID,,,,False,False,False,False,False,5
Accounting,FiscalPeriod,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingFoundation.cs,,ID,,,Status,False,False,False,False,False,6
Accounting,FiscalYear,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/AccountingFoundation.cs,,ID,CompanyID,,Status,False,False,False,False,False,6
Accounting,FixedAsset,FixedAssets,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/FixedAssets.cs,,ID,CompanyID,,Status,True,False,False,False,False,24
Accounting,FxRevaluationRun,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/FxAllocations.cs,,ID,CompanyID,,Status,True,True,False,False,False,12
Accounting,JournalEntry,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/GeneralLedger.cs,,ID,CompanyID,,Status,True,True,True,False,False,20
Accounting,JournalEntryLine,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/GeneralLedger.cs,,ID,,,,False,False,False,False,False,15
Accounting,MaintenanceRecord,FixedAssets,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Maintenance.cs,,ID,CompanyID,,Status,True,False,False,False,False,13
Accounting,MaintenanceSchedule,FixedAssets,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Maintenance.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,11
Accounting,NumberSequence,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/GeneralLedger.cs,,ID,CompanyID,,,False,False,False,False,False,7
Accounting,Payment,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,Status,True,False,False,False,False,15
Accounting,PaymentAllocation,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/FxAllocations.cs,,ID,CompanyID,,,True,False,False,False,False,10
Accounting,PayrollSettings,HR,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/PayrollSettings.cs,,,CompanyID,,,True,False,False,False,False,8
Accounting,PayrollTaxBracket,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/PayrollTaxBracket.cs,,ID,CompanyID,,,True,False,False,False,False,7
Accounting,PostingRule,POS,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/PostingRule.cs,,ID,CompanyID,,,True,False,False,False,False,8
Accounting,ProgressBilling,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ProgressBilling.cs,,ID,CompanyID,,Status,True,True,False,False,False,24
Accounting,ProgressBillingLine,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ProgressBilling.cs,,ID,,,,False,False,False,False,False,7
