"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"Identity","AccountController","Login","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","ChangePassword","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountingController","VendorQuickAdd","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerQuickAdd","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"HR","AdminController","SaveAppraisalCycle","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SetAppraisalCycleStatus","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SaveAppraisalTemplate","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","DeleteAppraisalTemplate","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","CreateAppraisal","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SaveAppraisalScores","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SaveHoliday","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteHoliday","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveAttendance","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","PostFinalSettlement","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AddAttachments","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteAttachment","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveContract","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteContract","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveDocument","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteDocument","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","NotifyExpiring","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","Encash","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","RunLeaveCarryOver","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","PostLeaveProvision","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveLeaveTypeEncashable","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","JobTitle","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AdministrativeBodiesCompany","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AddHierarchicalItem","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveLeavePolicy","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveLeaveType","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveSalaryPolicy","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveMainPolices","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveAttendancePolicy","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveEmployee","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveApplication","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Recruitment.cs"
"HR","AdminController","MoveApplication","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Recruitment.cs"
"HR","AdminController","ChangeApplicationStage","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Recruitment.cs"
"HR","AdminController","UploadApplicationDoc","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Recruitment.cs"
"HR","AdminController","DeleteApplicationDoc","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Recruitment.cs"
"HR","AdminController","SaveRequiredDocType","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Recruitment.cs"
