"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"Identity","AccountController","SetLanguage","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Login","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","SetEmployeeSession","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","GetEmployeeFromSession","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Login","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Logout","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Profile","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Statements","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Subscription","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","Settings","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountController","ChangePassword","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AccountController.cs"
"Identity","AccountingController","AiInsights","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Index","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Executive","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ChartOfAccounts","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateAccount","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EditAccount","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","JournalEntry","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SalesInvoiceDetail","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PrintInvoice","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","StampInvoiceCustomer","POST","True","True","False","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","PurchaseInvoiceDetail","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CustomerStatement","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VendorStatement","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Journals","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","JournalsData","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateJournal","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
