controller,action,http_method,is_api,authorization,permission_attributes,in_body_authority,in_body_chain,authentication_only,antiforgery,lane_guard,environment_gate,anonymous,unsupported_helpers,file,line
"AccountController","ChangePassword","POST","False","None","","","","True","True","False","False","False","","CrossBuy/Controllers/AccountController.cs","293"
"AccountController","Login","POST","False","None","","","","False","False","False","False","False","","CrossBuy/Controllers/AccountController.cs","100"
"AccountingApiController","CreateCustomer","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","CreateCustomer -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","359"
"AccountingApiController","CreateJournal","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","CreateJournal -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","221"
"AccountingApiController","CreatePayment","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","CreatePayment -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","455"
"AccountingApiController","CreatePurchaseInvoice","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","CreatePurchaseInvoice -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","440"
"AccountingApiController","CreateReceipt","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","CreateReceipt -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","387"
"AccountingApiController","CreateSalesInvoice","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","CreateSalesInvoice -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","372"
"AccountingApiController","CreateVendor","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","CreateVendor -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","427"
"AccountingApiController","PayrollPost","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","PayrollPost -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","333"
"AccountingApiController","Post","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","Post -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","252"
"AccountingApiController","Reverse","POST","True","InBody","","IAccountingApiAuthorization.AuthorizeAsync","Reverse -> IAccountingApiAuthorization.AuthorizeAsync","True","False","False","False","False","","CrossBuy/Controllers/Api/AccountingApiController.cs","267"
"AccountingController","AssignAccRole","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1719"
"AccountingController","CloseYear","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1683"
"AccountingController","CreateAccount","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","209"
"AccountingController","CreateAssetCategory","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1535"
"AccountingController","CreateBankAccount","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1365"
"AccountingController","CreateCashBox","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1381"
"AccountingController","CreateFixedAsset","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1456"
"AccountingController","CreateInvoiceFromReceipt","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1193"
"AccountingController","CreateJournal","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","409"
"AccountingController","CreatePayment","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1338"
"AccountingController","CreatePurchaseInvoice","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1161"
"AccountingController","CreatePurchaseReturn","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1259"
"AccountingController","CreateReceipt","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1016"
"AccountingController","CreateSalesInvoice","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","839"
"AccountingController","CreateSalesReturn","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","941"
"AccountingController","CreateTaxCode","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1572"
"AccountingController","CustomerQuickAdd","POST","False","ActionAttribute","ApiPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1107"
"AccountingController","DeleteMaintenanceSchedule","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1495"
"AccountingController","DeletePayrollBracket","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","618"
"AccountingController","DisbursePayroll","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","565"
"AccountingController","DisposeAsset","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1519"
"AccountingController","DoReconcile","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1421"
"AccountingController","DoTransfer","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1397"
"AccountingController","EditAccount","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","218"
"AccountingController","FileVatReturn","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1606"
"AccountingController","InvoiceConversationAdd","POST","False","InBody","","AccountingAccessService.CanAsync","InvoiceConversationAdd -> ConversationGateAsync -> AccountingAccessService.CanAsync","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1931"
"AccountingController","LogMaintenance","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1503"
"AccountingController","PostJournal","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","457"
"AccountingController","PostPayroll","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","544"
"AccountingController","RemitStatutory","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","573"
"AccountingController","RemoveAccRole","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1745"
"AccountingController","ReopenYear","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1692"
"AccountingController","ReverseJournal","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","481"
"AccountingController","RunDepreciation","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1547"
"AccountingController","SaveAccSettings","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1734"
"AccountingController","SaveCustomer","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","777"
"AccountingController","SaveMaintenanceSchedule","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1487"
"AccountingController","SavePayrollBracket","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","606"
"AccountingController","SavePayrollSettings","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","591"
"AccountingController","SaveVendor","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1069"
"AccountingController","SetPeriodStatus","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","522"
"AccountingController","SettleVatReturn","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1623"
"AccountingController","StampInvoiceCustomer","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","300"
"AccountingController","ToggleTaxCode","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1590"
"AccountingController","UpdatePurchaseInvoice","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1228"
"AccountingController","UpdatePurchaseReturn","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1286"
"AccountingController","UpdateSalesInvoice","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","884"
"AccountingController","UpdateSalesReturn","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","969"
"AccountingController","UpdateTaxCode","POST","False","ActionAttribute","AccPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1581"
"AccountingController","VendorQuickAdd","POST","False","ActionAttribute","ApiPerm","","","True","True","False","False","False","","CrossBuy/Controllers/AccountingController.cs","1089"
"AdminController","AddAttachments","POST","False","None","","","","False","True","False","False","False","","CrossBuy/Controllers/AdminController.cs","224"
"AdminController","AddHierarchicalItem","POST","False","None","","","","False","False","False","False","False","","CrossBuy/Controllers/AdminController.cs","616"
"AdminController","AdministrativeBodiesCompany","POST","False","None","","","","False","False","False","False","False","","CrossBuy/Controllers/AdminController.cs","565"
"AdminController","ChangeApplicationStage","POST","False","None","","","","False","True","False","False","False","","CrossBuy/Controllers/AdminController.Recruitment.cs","85"
"AdminController","CreateAppraisal","POST","False","None","","","","False","False","False","False","False","","CrossBuy/Controllers/AdminController.Appraisals.cs","86"
"AdminController","DeleteApplicationDoc","POST","False","None","","","","False","True","False","False","False","","CrossBuy/Controllers/AdminController.Recruitment.cs","103"
"AdminController","DeleteAppraisalTemplate","POST","False","None","","","","False","False","False","False","False","","CrossBuy/Controllers/AdminController.Appraisals.cs","78"
"AdminController","DeleteAttachment","POST","False","None","","","","False","True","False","False","False","","CrossBuy/Controllers/AdminController.cs","233"
"AdminController","DeleteContract","POST","False","None","","","","False","True","False","False","False","","CrossBuy/Controllers/AdminController.cs","252"
"AdminController","DeleteDocument","POST","False","None","","","","False","True","False","False","False","","CrossBuy/Controllers/AdminController.cs","271"
"AdminController","DeleteHoliday","POST","False","None","","","","False","True","False","False","False","","CrossBuy/Controllers/AdminController.cs","55"
"AdminController","DeleteRequiredDocType","POST","False","None","","","","False","False","False","False","False","","CrossBuy/Controllers/AdminController.Recruitment.cs","142"
"AdminController","DeleteTrainingCourse","POST","False","None","","","","False","False","False","False","False","","CrossBuy/Controllers/AdminController.Training.cs","38"
"AdminController","Encash","POST","False","InBody","","IHrAccessService.CanAsync","Encash -> HrGateAsync -> IHrAccessService.CanAsync","False","True","False","False","False","","CrossBuy/Controllers/AdminController.cs","319"
