module,folder,screen,view_file,is_partial,controller,action,route,http_method,permission,inherited_permission,has_route,layout,partials_used,timeline_integration,comments_integration,uses_localizer,dir_rtl,lines,status
Accounting,Accounting,AccountingRoles,CrossBuy/Views/Accounting/AccountingRoles.cshtml,False,AccountingController,AccountingRoles,/Accounting/AccountingRoles,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,False,79,routed
Accounting,Accounting,AiInsights,CrossBuy/Views/Accounting/AiInsights.cshtml,False,AccountingController,AiInsights,/Accounting/AiInsights,GET,SessionValidation,SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,209,routed
Accounting,Accounting,ApAging,CrossBuy/Views/Accounting/ApAging.cshtml,False,AccountingController,ApAging,/Accounting/ApAging,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,False,28,routed
Accounting,Accounting,ArAging,CrossBuy/Views/Accounting/ArAging.cshtml,False,AccountingController,ArAging,/Accounting/ArAging,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,False,28,routed
Accounting,Accounting,AssetCategories,CrossBuy/Views/Accounting/AssetCategories.cshtml,False,AccountingController,AssetCategories,/Accounting/AssetCategories,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,60,routed
Accounting,Accounting,BalanceSheet,CrossBuy/Views/Accounting/BalanceSheet.cshtml,False,AccountingController,BalanceSheet,/Accounting/BalanceSheet,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,176,routed
Accounting,Accounting,BankAccounts,CrossBuy/Views/Accounting/BankAccounts.cshtml,False,AccountingController,BankAccounts,/Accounting/BankAccounts,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,45,routed
Accounting,Accounting,CashBoxes,CrossBuy/Views/Accounting/CashBoxes.cshtml,False,AccountingController,CashBoxes,/Accounting/CashBoxes,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,41,routed
Accounting,Accounting,CashFlow,CrossBuy/Views/Accounting/CashFlow.cshtml,False,AccountingController,CashFlow,/Accounting/CashFlow,GET,(none),SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,136,routed
Accounting,Accounting,ChartOfAccounts,CrossBuy/Views/Accounting/ChartOfAccounts.cshtml,False,AccountingController,ChartOfAccounts,/Accounting/ChartOfAccounts,GET,SessionValidation,SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,231,routed
Accounting,Accounting,CostCenters,CrossBuy/Views/Accounting/CostCenters.cshtml,False,AccountingController,CostCenters,/Accounting/CostCenters,GET,SessionValidation,SessionValidation,True,~/Views/Shared/_LayoutAccounting.cshtml,,False,False,True,True,154,routed
