module,cls,interface,di_lifetime,file,implements,is_background_worker,uses_dbcontext,uses_scopedtx,scopedtx_sites,uses_notify,uses_businessevent,uses_httpcontext,lines
AI,AiInsightsService,IAiInsightsService,Scoped,CrossBuy/BL/AiInsightsService.cs,IAiInsightsService,False,True,False,0,False,False,False,137
AI,AiService,IAiService,(not registered),CrossBuy/BL/AiService.cs,IAiService,False,False,False,0,False,False,False,30
Accounting,AccountingAccessService,IAccountingAccessService,Scoped,CrossBuy/BL/AccountingAccessService.cs,IAccountingAccessService,False,True,False,0,False,False,True,77
Accounting,AccountingDashboardDto,,(not registered),CrossBuy/BL/AccountingDashboardService.cs,,False,True,False,0,False,False,False,195
Accounting,AccountingDashboardService,IAccountingDashboardService,Scoped,CrossBuy/BL/AccountingDashboardService.cs,IAccountingDashboardService,False,True,False,0,False,False,False,195
Accounting,AccountingPostingService,IAccountingPostingService,Scoped,CrossBuy/BL/AccountingPostingService.cs,IAccountingPostingService,False,True,False,0,False,False,False,395
Accounting,BankService,IBankService,Scoped,CrossBuy/BL/BankService.cs,IBankService,False,True,False,0,False,False,False,135
Accounting,ChartOfAccountsService,IChartOfAccountsService,Scoped,CrossBuy/BL/ChartOfAccountsService.cs,IChartOfAccountsService,False,True,False,0,False,False,False,153
Accounting,ClosingService,IClosingService,Scoped,CrossBuy/BL/ClosingService.cs,IClosingService,False,True,False,0,False,False,False,152
Accounting,CostCenterNode,,(not registered),CrossBuy/BL/CostCenterService.cs,,False,True,False,0,False,False,False,137
Accounting,CostCenterService,ICostCenterService,Scoped,CrossBuy/BL/CostCenterService.cs,ICostCenterService,False,True,False,0,False,False,False,137
Accounting,CurrencyRounding,ICurrencyRounding,Scoped,CrossBuy/BL/CurrencyRounding.cs,ICurrencyRounding,False,True,False,0,False,False,False,45
Accounting,CurrencyService,ICurrencyService,Scoped,CrossBuy/BL/CurrencyService.cs,ICurrencyService,False,True,False,0,False,False,False,111
Accounting,EtaInvoiceServiceStub,IEtaInvoiceService,Scoped,CrossBuy/BL/TaxService.cs,IEtaInvoiceService,False,True,False,0,False,False,False,205
Accounting,EtaSubmitResult,,(not registered),CrossBuy/BL/TaxService.cs,,False,True,False,0,False,False,False,205
