category,path,state,bytes,lines,sha256
business-logic,CrossBuy/BL/Communication/CommAccessPolicy.cs,present,25168,476,3db0f29c9514c17557b1463253aa88be42bc0b9a1c2ca88e6b29fe38a97d87fb
business-logic,CrossBuy/BL/Communication/CommActorDirectory.cs,present,4954,90,9a7b2a1077f86814ead9945c9e4e502ee2f6593b6cd4b56e854f9ad6c71cd9f6
business-logic,CrossBuy/BL/Communication/CommAttachmentService.cs,present,18743,362,6bec874821dfca8ba457828204d26cccaba4377fe650af8d0a89c35107c082bf
business-logic,CrossBuy/BL/Communication/CommAuditWriter.cs,present,11005,209,7ac307694013c92da93cf7ef7e15ad1036e60b8668804340532d453d7bf11ede
business-logic,CrossBuy/BL/Communication/CommBodyPolicy.cs,present,19867,360,9f277d27ca24f16025b2a3752ce768744e1e74c7d7ca65680e7ad97170ac8e3c
business-logic,CrossBuy/BL/Communication/CommCommentService.cs,present,51337,922,5a15e659dc554b187dc22e093c6e1ab76e1d7569ed8d6815f1295394aa6ae97e
business-logic,CrossBuy/BL/Communication/CommDb.cs,present,3445,55,0038d3c9fb1751c7a11623282237ecf65a97b519093227405d832e080d98e8ba
business-logic,CrossBuy/BL/Communication/CommEntitySurface.cs,present,12816,240,a327347c9c5fa63a0dca67016b350201457d3b7b10471a5ce7a063d0ad073f53
business-logic,CrossBuy/BL/Communication/CommEventPublisher.cs,present,12767,244,ae5e8cd80962ad4e0bb768cd1661556293a0127f0142b25cebe12a0f8c59f487
business-logic,CrossBuy/BL/Communication/CommMentionService.cs,present,19380,393,398771a6b8559a98190649c1250e8319878fb8ac28320578b0c127820875dcee
business-logic,CrossBuy/BL/Communication/CommNotificationDispatcher.cs,present,22479,426,23c6400757b78e9e6032c4b0a3852030521df71b8621107921469c6a464df3e6
business-logic,CrossBuy/BL/Communication/CommNotificationService.cs,present,21213,410,92ba6e3f0a40888dd80102f5a90e59516ac2da0f2ec5c79cea2fcaba65f30707
business-logic,CrossBuy/BL/Communication/CommParticipationService.cs,present,22315,415,c715723190c3fb98b87ff25974f5b5defe18bcdc782ae2dc1e487663660a7f0e
business-logic,CrossBuy/BL/Communication/CommPreferenceResolver.cs,present,12697,254,90b3a4c93c21cadb6d6afbb3f6ab3f68d14a7752e938e841d336c876e8d0b28b
