path,bytes,lines,sha256,owner,role
CrossBuy/BL/Workspace/WorkspaceContracts.cs,20064,432,39c7c8b130a242f2bddd059c65e70e31a81c0f5c266fc2657abfbf7485bfa550,TAB3-Workspace,business-logic
CrossBuy/BL/Workspace/WorkspaceNavigation.cs,9318,198,4a3f40645c1baa43febc6b6659f149b46bfa3cbf3b64fc3249ade79569b13cb1,TAB3-Workspace,business-logic
CrossBuy/BL/Workspace/WorkspaceRegistration.cs,3158,52,dc427ae8e667e483457d4662e9ffac4975356e2c7cac8ad912beb2d6eb3cd094,TAB3-Workspace,business-logic
CrossBuy/BL/Workspace/WorkspaceService.cs,31941,611,141708426e236d15182c83615efb7672b5d160f9bac23db6e12c3c4ba9e8c97f,TAB3-Workspace,business-logic
CrossBuy/BL/Workspace/WorkspaceSources.cs,11993,256,03598c1c62e01c032debfa23c13de4b184251ec9c7264a71226bc080bed00eb8,TAB3-Workspace,business-logic
CrossBuy/Controllers/WorkspaceController.cs,4300,85,4cc0b877f0dee27752afc586bbca158a73b707f542281bd8693d00a4672c0660,TAB3-Workspace,controller
CrossBuy/Views/Shared/_LayoutWorkspace.cshtml,11424,212,f09e1d35525f0a5567a5e3f629177514bc01285803d4e4ecf08b03f56f73d83b,TAB3-Workspace,view-shared
CrossBuy/Views/Shared/_WorkspacePanelState.cshtml,3158,77,8fa343e04af6098c84929dc2c96a3f48540e0a7690a7b4cc8048bcd1fd63c3a0,TAB3-Workspace,view-shared
CrossBuy/Views/Workspace/Agenda.cshtml,6162,139,2cdf5310a2fe09eb2f58cae3639d4fd1146537ba6f75c82dc335f802e019a863,TAB3-Workspace,view
CrossBuy/Views/Workspace/Index.cshtml,21452,466,fa6ed273cc0cac1c4bc3d6b7141547cf7a97ba563c01ad64854fc93c54436598,TAB3-Workspace,view
CrossBuy/Views/Workspace/Mentions.cshtml,3449,78,ef21fba4e48741b2ded8fc2c11cb7868a56cc381d1ce7f4510826f0ed31533a9,TAB3-Workspace,view
CrossBuy/Views/Workspace/Notifications.cshtml,4916,111,d8e2e604732ce549f11e6513007910375802645eec2b5dcb2381ec5e92a54c08,TAB3-Workspace,view
CrossBuy/Views/Workspace/Reports.cshtml,4099,91,029dfa4dbdf3759793dae5f58334594b4af3b4386e5af437a74bcc6ada0f0ef9,TAB3-Workspace,view
CrossBuy/wwwroot/Backend-assets/css/crossbusiness-workspace.css,19536,500,4cb756d77d0a2b22d37ae8527097b9c1bebffc652e1a6375103319c7ec0e4201,TAB3-Workspace,stylesheet
docs/platform/Stage-Workspace-Integration-01-Screen-Inventory.md,6144,119,9c6dd78d44d9faf840f763cd533f80d982657c41467cddb1a5ff87ca1acf47ba,TAB3-Workspace,document
docs/platform/Stage-Workspace-Integration-02-Routes-and-Navigation.md,5931,130,db2a52a320c3416208fb841d349ae9ccffafffb3aaf4879b1389edb4c85cd3d9,TAB3-Workspace,document
docs/platform/Stage-Workspace-Integration-03-Agenda.md,6784,137,9cb250a77dd7f07cbd61ee3f3c7a7b2d6b951c8e7dc29475b88d96625dcde555,TAB3-Workspace,document
docs/platform/Stage-Workspace-Integration-04-Reporting.md,6845,138,5c2dd1b6877ddc0cf6796addd5d09d5858226f444da41a41d1f2bf0ca13b8a9b,TAB3-Workspace,document
docs/platform/Stage-Workspace-Integration-05-Communication-States.md,8159,173,2561821c8998e6d265a3d66ce5b264fd7b677510d56cebe24685bd3476aeedff,TAB3-Workspace,document
docs/platform/Stage-Workspace-Integration-Delivery-Report.md,10144,188,212ff5d1dd89219cdd3cea22785c8c127d044e001d26cd846a499de23b08a672,TAB3-Workspace,document
docs/platform/Stage-Workspace-Integration-UI-Review-Pack.md,8768,204,5435ef0bea93c2f7c7506de334343cc181d98286400a2e6b5df7d6e46a0037f4,TAB3-Workspace,document
docs/platform/Stage-Workspace-R1-R3-Delivery-Notes.md,9907,193,d83b9f251488ddd851f899b9b96ed4ac381310c85c95c26deeeb0874bef0538a,TAB3-Workspace,document
CrossBuy/Program.cs,42963,644,4fa1d8e2900ff44d02bd679d9b747544894526fd77e458dfc575dbdf4103a8a4,SHARED-one-line-only,composition-root
